,cdk16,cdk1,cdk9,cdk8,mapk7,nlk,ick,camk2b,mast3,akt1,map4k5,map3k7,egfr,matk,fgfr1,kit,tec,ntrk2,met,csnk1g1,clk3,efnb2,dusp6,phka2,pkm,akap2,itpkc
cdk16,1,0.309934441,0.220609304,0.170735818,0.156174257,0.127367222,0.177359641,0.11845244,0.086806559,0.0896738,0.100032489,0.11454889,0.043948177,0.042816048,0.041397413,0.047364471,0.048742251,0.035584588,0.043948177,0.08529993,0.043017071,0.03164835,0.054290638,0.037546994,0.032842692,0.0402324,0.04363493
cdk1,0.309934441,1,0.236422337,0.223218286,0.198369359,0.211931074,0.231192292,0.136458184,0.126101476,0.111160539,0.126463394,0.139337034,0.066161753,0.050574673,0.048981146,0.057190958,0.036629774,0.053812772,0.055407023,0.100359784,0.048898723,0.04028513,0.063490961,0.051849221,0.051695948,0.055599718,0.059246354
cdk9,0.220609304,0.236422337,1,0.159541083,0.162034731,0.152260091,0.151610931,0.108117415,0.107126984,0.104919227,0.101769416,0.10996142,0.046922986,0.047888882,0.053185464,0.041627285,0.040891298,0.039878714,0.046793752,0.086862966,0.037102878,0.037199851,0.057792432,0.045384725,0.051008538,0.041512031,0.045478596
cdk8,0.170735818,0.223218286,0.159541083,1,0.126306079,0.134715105,0.142799214,0.09464254,0.085093682,0.090061355,0.089886675,0.097013502,0.039576243,0.046537411,0.041492884,0.04352357,0.034228486,0.046646012,0.046331945,0.053955604,0.032468121,0.028714138,0.050105874,0.041822851,0.040626241,0.042868988,0.039418599
mapk7,0.156174257,0.198369359,0.162034731,0.126306079,1,0.218424841,0.115975565,0.081856327,0.073985339,0.088825633,0.06585826,0.088229579,0.035873818,0.06276646,0.042180906,0.035123886,0.029752964,0.045363918,0.037329122,0.074002557,0.041666667,0.054969968,0.046537411,0.042690202,0.046060799,0.033158437,0.039774038
nlk,0.127367222,0.211931074,0.152260091,0.134715105,0.218424841,1,0.158780485,0.10527941,0.092076917,0.083917554,0.09141823,0.116584311,0.041643802,0.065583429,0.036810312,0.029621599,0.039718208,0.035725889,0.041664948,0.078322293,0.040596776,0.037811634,0.044608674,0.049683855,0.044981518,0.048028362,0.04238287
ick,0.177359641,0.231192292,0.151610931,0.142799214,0.115975565,0.158780485,1,0.075184044,0.075161682,0.116927798,0.07826251,0.083997994,0.044502913,0.040881411,0.041113621,0.043209974,0.033908217,0.039452274,0.038970741,0.088748253,0.034578416,0.038724476,0.046801564,0.042022172,0.038539628,0.047646734,0.044466914
camk2b,0.11845244,0.136458184,0.108117415,0.09464254,0.081856327,0.10527941,0.075184044,1,0.078045554,0.129303673,0.074415149,0.09199775,0.041397413,0.049805411,0.034352091,0.045729734,0.042805645,0.038806052,0.035291465,0.062019354,0.033582769,0.04311704,0.051747628,0.033597427,0.04574484,0.036090395,0.04106244
mast3,0.086806559,0.126101476,0.107126984,0.085093682,0.073985339,0.092076917,0.075161682,0.078045554,1,0.127643256,0.068965517,0.079502615,0.034989865,0.052948145,0.042905159,0.036456287,0.028601391,0.036281586,0.038841119,0.068891894,0.037717899,0.039604119,0.033342755,0.034987047,0.042061036,0.035178403,0.033908217
akt1,0.0896738,0.111160539,0.104919227,0.090061355,0.088825633,0.083917554,0.116927798,0.129303673,0.127643256,1,0.103287355,0.113361873,0.042572892,0.049015466,0.039314481,0.041485524,0.038688791,0.037227386,0.033908217,0.083301503,0.03304602,0.042295739,0.039912136,0.031754163,0.04043498,0.043754733,0.044139621
map4k5,0.100032489,0.126463394,0.101769416,0.089886675,0.06585826,0.09141823,0.07826251,0.074415149,0.068965517,0.103287355,1,0.069419868,0.034524543,0.033158437,0.035854023,0.033758864,0.021903663,0.026902981,0.028134026,0.060438869,0.029969377,0.034876083,0.04043498,0.026311528,0.044466914,0.047537072,0.037235116
map3k7,0.11454889,0.139337034,0.10996142,0.097013502,0.088229579,0.116584311,0.083997994,0.09199775,0.079502615,0.113361873,0.069419868,1,0.04992618,0.043817113,0.044805416,0.040101733,0.043278873,0.043040957,0.030515687,0.070504538,0.034932976,0.044540307,0.034493195,0.049058136,0.038819313,0.042356402,0.044632389
egfr,0.043948177,0.066161753,0.046922986,0.039576243,0.035873818,0.041643802,0.044502913,0.041397413,0.034989865,0.042572892,0.034524543,0.04992618,1,0.032201641,0.034246129,0.032602981,0.039934773,0.040604025,0.035649447,0.023246121,0.034240036,0.033908217,0.033544135,0.024538042,0.032062768,0.03011917,0.032720959
matk,0.042816048,0.050574673,0.047888882,0.046537411,0.06276646,0.065583429,0.040881411,0.049805411,0.052948145,0.049015466,0.033158437,0.043817113,0.032201641,1,0.046726609,0.039231077,0.044605367,0.042135171,0.035133963,0.032192383,0.042302623,0.037164774,0.03252907,0.039549476,0.037148333,0.039873088,0.034739979
fgfr1,0.041397413,0.048981146,0.053185464,0.041492884,0.042180906,0.036810312,0.041113621,0.034352091,0.042905159,0.039314481,0.035854023,0.044805416,0.034246129,0.046726609,1,0.105853062,0.089054492,0.08517849,0.078519028,0.03851966,0.031232057,0.030682178,0.026959142,0.041190632,0.036021628,0.033564534,0.037895579
kit,0.047364471,0.057190958,0.041627285,0.04352357,0.035123886,0.029621599,0.043209974,0.045729734,0.036456287,0.041485524,0.033758864,0.040101733,0.032602981,0.039231077,0.105853062,1,0.077743832,0.077524234,0.065202613,0.033604271,0.032318753,0.038505695,0.047164895,0.034729223,0.027032032,0.027985411,0.028641979
tec,0.048742251,0.036629774,0.040891298,0.034228486,0.029752964,0.039718208,0.033908217,0.042805645,0.028601391,0.038688791,0.021903663,0.043278873,0.039934773,0.044605367,0.089054492,0.077743832,1,0.079662598,0.084524584,0.036458806,0.041519368,0.051476912,0.039337551,0.041600109,0.026462313,0.038586655,0.028795217
ntrk2,0.035584588,0.053812772,0.039878714,0.046646012,0.045363918,0.035725889,0.039452274,0.038806052,0.036281586,0.037227386,0.026902981,0.043040957,0.040604025,0.042135171,0.08517849,0.077524234,0.079662598,1,0.078337174,0.044315254,0.040568531,0.041652984,0.037546994,0.032835744,0.030147936,0.030912576,0.036935907
met,0.043948177,0.055407023,0.046793752,0.046331945,0.037329122,0.041664948,0.038970741,0.035291465,0.038841119,0.033908217,0.028134026,0.030515687,0.035649447,0.035133963,0.078519028,0.065202613,0.084524584,0.078337174,1,0.040195133,0.042504575,0.035152379,0.045784974,0.029360199,0.049329928,0.03555263,0.031327717
csnk1g1,0.08529993,0.100359784,0.086862966,0.053955604,0.074002557,0.078322293,0.088748253,0.062019354,0.068891894,0.083301503,0.060438869,0.070504538,0.023246121,0.032192383,0.03851966,0.033604271,0.036458806,0.044315254,0.040195133,1,0.042671135,0.035098719,0.038558505,0.042288494,0.03687913,0.041897663,0.04748503
clk3,0.043017071,0.048898723,0.037102878,0.032468121,0.041666667,0.040596776,0.034578416,0.033582769,0.037717899,0.03304602,0.029969377,0.034932976,0.034240036,0.042302623,0.031232057,0.032318753,0.041519368,0.040568531,0.042504575,0.042671135,1,0.035587648,0.046665229,0.038353032,0.041561347,0.041600109,0.040306789
efnb2,0.03164835,0.04028513,0.037199851,0.028714138,0.054969968,0.037811634,0.038724476,0.04311704,0.039604119,0.042295739,0.034876083,0.044540307,0.033908217,0.037164774,0.030682178,0.038505695,0.051476912,0.041652984,0.035152379,0.035098719,0.035587648,1,0.039365422,0.027402475,0.045089479,0.032044972,0.041397413
dusp6,0.054290638,0.063490961,0.057792432,0.050105874,0.046537411,0.044608674,0.046801564,0.051747628,0.033342755,0.039912136,0.04043498,0.034493195,0.033544135,0.03252907,0.026959142,0.047164895,0.039337551,0.037546994,0.045784974,0.038558505,0.046665229,0.039365422,1,0.030653547,0.0298575,0.046033067,0.049076597
phka2,0.037546994,0.051849221,0.045384725,0.041822851,0.042690202,0.049683855,0.042022172,0.033597427,0.034987047,0.031754163,0.026311528,0.049058136,0.024538042,0.039549476,0.041190632,0.034729223,0.041600109,0.032835744,0.029360199,0.042288494,0.038353032,0.027402475,0.030653547,1,0.023869789,0.039524551,0.031327717
pkm,0.032842692,0.051695948,0.051008538,0.040626241,0.046060799,0.044981518,0.038539628,0.04574484,0.042061036,0.04043498,0.044466914,0.038819313,0.032062768,0.037148333,0.036021628,0.027032032,0.026462313,0.030147936,0.049329928,0.03687913,0.041561347,0.045089479,0.0298575,0.023869789,1,0.022022805,0.035674203
akap2,0.0402324,0.055599718,0.041512031,0.042868988,0.033158437,0.048028362,0.047646734,0.036090395,0.035178403,0.043754733,0.047537072,0.042356402,0.03011917,0.039873088,0.033564534,0.027985411,0.038586655,0.030912576,0.03555263,0.041897663,0.041600109,0.032044972,0.046033067,0.039524551,0.022022805,1,0.0443988
itpkc,0.04363493,0.059246354,0.045478596,0.039418599,0.039774038,0.04238287,0.044466914,0.04106244,0.033908217,0.044139621,0.037235116,0.044632389,0.032720959,0.034739979,0.037895579,0.028641979,0.028795217,0.036935907,0.031327717,0.04748503,0.040306789,0.041397413,0.049076597,0.031327717,0.035674203,0.0443988,1
